event_id,registered,visitors,repeat_visitors,new_visitors,fill_rate_pct,no_show_rate_pct,data_source
EV_0113,46,42,17,25,70.7,8.7,synthetic
EV_0114,55,46,22,24,76.6,16.4,synthetic
EV_0115,43,38,16,22,63.6,11.6,synthetic
EV_0116,76,62,30,32,52.0,18.4,synthetic
EV_0117,57,53,23,30,88.7,7.0,synthetic
EV_0118,123,120,0,120,100.0,2.4,synthetic
EV_0119,55,45,18,27,75.3,18.2,synthetic
EV_0120,48,39,16,23,65.7,18.8,synthetic
EV_0121,87,75,34,41,62.4,13.8,synthetic
EV_0122,72,69,31,38,57.3,4.2,synthetic
EV_0123,94,77,31,46,63.9,18.1,synthetic
EV_0124,47,41,0,41,68.5,12.8,synthetic
EV_0125,46,40,15,25,67.3,13.0,synthetic
EV_0126,104,84,35,49,69.7,19.2,synthetic
EV_0127,92,75,32,43,62.9,18.5,synthetic
EV_0128,48,41,15,26,68.1,14.6,synthetic
EV_0129,44,43,20,23,71.4,2.3,synthetic
EV_0130,53,45,18,27,75.6,15.1,synthetic
EV_0131,38,33,16,17,54.7,13.2,synthetic
EV_0132,50,45,19,26,75.0,10.0,synthetic
EV_0133,76,69,31,38,57.3,9.2,synthetic
EV_0134,61,56,25,31,47.0,8.2,synthetic
EV_0135,56,49,24,25,82.0,12.5,synthetic
EV_0136,57,52,24,28,43.2,8.8,synthetic
EV_0137,63,58,25,33,96.6,7.9,synthetic
EV_0138,70,60,0,60,100.0,14.3,synthetic
EV_0139,60,52,23,29,86.0,13.3,synthetic
EV_0140,120,118,50,68,98.4,1.7,synthetic
EV_0141,92,74,33,41,61.4,19.6,synthetic
EV_0142,46,38,14,24,63.2,17.4,synthetic
EV_0143,59,51,23,28,85.0,13.6,synthetic
EV_0144,126,120,52,68,100.0,4.8,synthetic
EV_0145,119,99,45,54,82.4,16.8,synthetic
EV_0146,91,89,38,51,74.4,2.2,synthetic
EV_0147,106,100,41,59,83.7,5.7,synthetic
EV_0148,83,69,32,37,57.6,16.9,synthetic
EV_0149,55,53,29,24,88.5,3.6,synthetic
EV_0150,35,34,0,34,56.2,2.9,synthetic
EV_0151,94,76,0,76,63.6,19.1,synthetic
EV_0152,34,30,14,16,50.4,11.8,synthetic
EV_0153,56,53,23,30,88.0,5.4,synthetic
EV_0154,49,41,17,24,34.0,16.3,synthetic
EV_0155,78,64,27,37,53.0,17.9,synthetic
EV_0156,62,58,25,33,48.0,6.5,synthetic
EV_0157,98,80,36,44,66.3,18.4,synthetic
EV_0158,57,47,21,26,78.0,17.5,synthetic
EV_0159,107,87,37,50,72.7,18.7,synthetic
EV_0160,40,34,17,17,56.1,15.0,synthetic
EV_0161,78,73,32,41,60.8,6.4,synthetic
EV_0162,115,94,41,53,78.7,18.3,synthetic
EV_0163,70,62,23,39,51.5,11.4,synthetic
EV_0164,73,60,24,36,100.0,17.8,synthetic
EV_0165,52,43,19,24,71.2,17.3,synthetic
EV_0166,104,96,47,49,80.3,7.7,synthetic
EV_0167,59,49,25,24,81.5,16.9,synthetic
EV_0168,69,55,24,31,46.2,20.3,synthetic
EV_0169,85,71,35,36,58.8,16.5,synthetic
EV_0170,100,91,39,52,76.2,9.0,synthetic
EV_0171,128,120,53,67,100.0,6.2,synthetic
EV_0172,65,59,24,35,49.1,9.2,synthetic
EV_0173,38,31,15,16,51.7,18.4,synthetic
EV_0174,99,86,39,47,71.4,13.1,synthetic
EV_0175,71,64,31,33,53.4,9.9,synthetic
EV_0176,33,28,12,16,46.2,15.2,synthetic
EV_0177,59,49,24,25,81.8,16.9,synthetic
EV_0178,37,31,16,15,52.1,16.2,synthetic
EV_0179,96,84,46,38,70.0,12.5,synthetic
EV_0180,48,44,20,24,73.7,8.3,synthetic
EV_0181,65,57,28,29,94.3,12.3,synthetic
EV_0182,233,191,0,191,87.0,18.0,synthetic
EV_0183,167,162,68,94,73.8,3.0,synthetic
EV_0184,70,60,28,32,100.0,14.3,synthetic
EV_0185,57,47,0,47,77.6,17.5,synthetic
EV_0186,63,51,22,29,84.4,19.0,synthetic
EV_0187,73,62,0,62,51.7,15.1,synthetic
EV_0188,50,46,21,25,38.4,8.0,synthetic
EV_0189,77,71,32,39,58.9,7.8,synthetic
EV_0190,49,49,22,27,81.2,0.0,synthetic
EV_0191,83,69,31,38,57.4,16.9,synthetic
EV_0192,74,70,30,40,58.2,5.4,synthetic
EV_0193,53,51,22,29,85.7,3.8,synthetic
EV_0194,45,45,20,25,74.5,0.0,synthetic
EV_0195,72,65,24,41,53.8,9.7,synthetic
EV_0196,72,68,33,35,56.5,5.6,synthetic
EV_0197,122,106,51,55,88.1,13.1,synthetic
EV_0198,94,88,41,47,73.7,6.4,synthetic
EV_0199,110,91,39,52,75.9,17.3,synthetic
EV_0200,52,46,21,25,75.9,11.5,synthetic
EV_0201,59,50,26,24,82.5,15.3,synthetic
EV_0202,243,199,95,104,90.5,18.1,synthetic
EV_0203,62,53,26,27,88.7,14.5,synthetic
EV_0204,49,42,20,22,70.2,14.3,synthetic
EV_0205,179,164,77,87,74.5,8.4,synthetic
EV_0206,134,120,56,64,100.0,10.4,synthetic
EV_0207,44,35,15,20,58.3,20.5,synthetic
EV_0208,64,53,28,25,88.0,17.2,synthetic
EV_0209,242,220,114,106,100.0,9.1,synthetic
EV_0210,46,43,23,20,71.0,6.5,synthetic
EV_0211,221,211,102,109,95.8,4.5,synthetic
EV_0212,216,202,110,92,91.6,6.5,synthetic
EV_0213,68,59,29,30,49.5,13.2,synthetic
EV_0214,72,59,35,24,97.8,18.1,synthetic
EV_0215,38,30,0,30,50.3,21.1,synthetic
EV_0216,47,40,17,23,66.2,14.9,synthetic
EV_0217,48,40,17,23,66.7,16.7,synthetic
EV_0218,97,94,36,58,78.4,3.1,synthetic
EV_0219,42,39,16,23,64.5,7.1,synthetic
EV_0220,104,98,37,61,81.7,5.8,synthetic
EV_0221,51,42,19,23,70.0,17.6,synthetic
EV_0222,50,49,17,32,81.2,2.0,synthetic
EV_0223,65,56,24,32,93.0,13.8,synthetic
EV_0224,73,67,0,67,55.7,8.2,synthetic
EV_0225,50,40,17,23,66.9,20.0,synthetic
