event_id,institution_id,venue_id,event_name,event_type,date,day_of_week,start_time,duration_min,capacity,price_rub,target_age_min,target_age_max,data_source
EV_0017,INST_001,INST_001_V1,Практическая мастерская,Мастер-класс,2026-09-06,Sunday,11:00,90,60,400,10,55,synthetic
EV_0018,INST_001,INST_001_V2,Встреча с автором,Творческая встреча,2026-09-21,Monday,18:00,90,120,200,16,65,synthetic
EV_0019,INST_001,INST_001_V1,Открытая мастерская,Мастер-класс,2026-10-06,Tuesday,15:00,60,60,400,10,55,synthetic
EV_0020,INST_001,INST_001_V2,Встреча с автором,Творческая встреча,2026-10-21,Wednesday,12:00,60,120,200,16,65,synthetic
EV_0021,INST_001,INST_001_V1,Новая экспозиция,Выставка,2026-11-05,Thursday,18:00,120,60,150,14,70,synthetic
EV_0022,INST_001,INST_001_V2,Открытая лекция,Лекция,2026-11-20,Friday,18:00,90,120,0,16,65,synthetic
EV_0023,INST_001,INST_001_V2,Лекция об искусстве,Лекция,2026-12-05,Saturday,15:00,90,120,200,16,65,synthetic
EV_0024,INST_001,INST_001_V2,Творческий вечер,Творческая встреча,2026-12-20,Sunday,12:00,90,120,0,16,65,synthetic
EV_0025,INST_002,INST_002_V1,Диалог с искусством,Выставка,2026-01-10,Saturday,16:00,180,60,300,14,70,synthetic
EV_0026,INST_002,INST_002_V2,Творческий вечер,Творческая встреча,2026-02-13,Friday,18:00,60,120,200,16,65,synthetic
EV_0027,INST_002,INST_002_V2,Образовательная встреча,Лекция,2026-03-19,Thursday,15:00,90,120,0,16,65,synthetic
EV_0028,INST_002,INST_002_V2,Встреча с автором,Творческая встреча,2026-04-23,Thursday,18:00,60,120,200,16,65,synthetic
EV_0029,INST_002,INST_002_V1,Галерея современного искусства,Выставка,2026-05-27,Wednesday,14:00,120,60,0,14,70,synthetic
EV_0030,INST_002,INST_002_V2,Лекция об искусстве,Лекция,2026-07-01,Wednesday,18:00,120,120,0,16,65,synthetic
EV_0031,INST_002,INST_002_V2,Открытый разговор,Творческая встреча,2026-08-04,Tuesday,14:00,90,120,200,16,65,synthetic
EV_0032,INST_002,INST_002_V2,Творческий вечер,Творческая встреча,2026-09-07,Monday,18:00,90,120,100,16,65,synthetic
EV_0033,INST_002,INST_002_V2,Творческий вечер,Творческая встреча,2026-10-12,Monday,18:00,90,120,100,16,65,synthetic
EV_0034,INST_002,INST_002_V2,Открытая лекция,Лекция,2026-11-15,Sunday,15:00,90,120,200,16,65,synthetic
EV_0035,INST_002,INST_002_V2,Лекция об искусстве,Лекция,2026-12-20,Sunday,15:00,90,120,0,16,65,synthetic
EV_0036,INST_003,INST_003_V1,Открытая мастерская,Мастер-класс,2026-01-10,Saturday,15:00,90,60,400,10,55,synthetic
EV_0037,INST_003,INST_003_V1,Новая экспозиция,Выставка,2026-03-19,Thursday,18:00,120,60,150,14,70,synthetic
EV_0038,INST_003,INST_003_V1,Галерея современного искусства,Выставка,2026-05-27,Wednesday,12:00,180,60,150,14,70,synthetic
EV_0039,INST_003,INST_003_V2,Открытый разговор,Творческая встреча,2026-08-04,Tuesday,12:00,90,120,200,16,65,synthetic
EV_0040,INST_003,INST_003_V2,Открытый разговор,Творческая встреча,2026-10-12,Monday,16:00,60,120,100,16,65,synthetic
EV_0041,INST_003,INST_003_V1,Новая экспозиция,Выставка,2026-12-20,Sunday,16:00,120,60,300,14,70,synthetic
EV_0042,INST_004,INST_004_V2,Творческий вечер,Творческая встреча,2026-01-10,Saturday,18:00,60,120,0,16,65,synthetic
EV_0043,INST_004,INST_004_V2,Открытая лекция,Лекция,2026-03-08,Sunday,15:00,120,120,200,16,65,synthetic
EV_0044,INST_004,INST_004_V1,Галерея современного искусства,Выставка,2026-05-04,Monday,16:00,180,60,0,14,70,synthetic
EV_0045,INST_004,INST_004_V2,Встреча с автором,Творческая встреча,2026-07-01,Wednesday,12:00,60,120,200,16,65,synthetic
EV_0046,INST_004,INST_004_V2,Встреча с автором,Творческая встреча,2026-08-27,Thursday,12:00,60,120,0,16,65,synthetic
EV_0047,INST_004,INST_004_V1,Практическая мастерская,Мастер-класс,2026-10-23,Friday,15:00,60,60,0,10,55,synthetic
EV_0048,INST_004,INST_004_V2,Встреча с автором,Творческая встреча,2026-12-20,Sunday,16:00,60,120,0,16,65,synthetic
EV_0049,INST_005,INST_005_V2,Лекция об искусстве,Лекция,2026-01-10,Saturday,18:00,120,120,100,16,65,synthetic
EV_0050,INST_005,INST_005_V1,Творческий мастер-класс,Мастер-класс,2026-03-08,Sunday,13:00,60,60,400,10,55,synthetic
EV_0051,INST_005,INST_005_V1,Галерея современного искусства,Выставка,2026-05-04,Monday,14:00,180,60,0,14,70,synthetic
EV_0052,INST_005,INST_005_V1,Новая экспозиция,Выставка,2026-07-01,Wednesday,14:00,120,60,150,14,70,synthetic
EV_0053,INST_005,INST_005_V1,Галерея современного искусства,Выставка,2026-08-27,Thursday,18:00,120,60,300,14,70,synthetic
EV_0054,INST_005,INST_005_V1,Практическая мастерская,Мастер-класс,2026-10-23,Friday,17:00,60,60,0,10,55,synthetic
EV_0055,INST_005,INST_005_V2,Образовательная встреча,Лекция,2026-12-20,Sunday,11:00,120,120,200,16,65,synthetic
EV_0056,INST_006,INST_006_V1,Диалог с искусством,Выставка,2026-01-10,Saturday,16:00,180,60,0,14,70,synthetic
EV_0057,INST_006,INST_006_V2,Образовательная встреча,Лекция,2026-01-25,Sunday,11:00,90,120,200,16,65,synthetic
EV_0058,INST_006,INST_006_V2,Встреча с автором,Творческая встреча,2026-02-10,Tuesday,16:00,60,120,0,16,65,synthetic
EV_0059,INST_006,INST_006_V1,Галерея современного искусства,Выставка,2026-02-25,Wednesday,18:00,180,60,150,14,70,synthetic
EV_0060,INST_006,INST_006_V2,Открытый разговор,Творческая встреча,2026-03-13,Friday,18:00,90,120,100,16,65,synthetic
EV_0061,INST_006,INST_006_V2,Образовательная встреча,Лекция,2026-03-29,Sunday,15:00,120,120,100,16,65,synthetic
EV_0062,INST_006,INST_006_V1,Открытая мастерская,Мастер-класс,2026-04-13,Monday,15:00,120,60,0,10,55,synthetic
EV_0063,INST_006,INST_006_V1,Открытая мастерская,Мастер-класс,2026-04-29,Wednesday,15:00,90,60,400,10,55,synthetic
EV_0064,INST_006,INST_006_V2,Лекция об искусстве,Лекция,2026-05-15,Friday,18:00,90,120,0,16,65,synthetic
EV_0065,INST_006,INST_006_V1,Творческий мастер-класс,Мастер-класс,2026-05-30,Saturday,15:00,60,60,200,10,55,synthetic
EV_0066,INST_006,INST_006_V1,Диалог с искусством,Выставка,2026-06-15,Monday,16:00,120,60,0,14,70,synthetic
EV_0067,INST_006,INST_006_V1,Практическая мастерская,Мастер-класс,2026-07-01,Wednesday,18:00,60,60,400,10,55,synthetic
EV_0068,INST_006,INST_006_V2,Творческий вечер,Творческая встреча,2026-07-16,Thursday,12:00,60,120,0,16,65,synthetic
EV_0069,INST_006,INST_006_V2,Образовательная встреча,Лекция,2026-08-01,Saturday,17:00,90,120,100,16,65,synthetic
EV_0070,INST_006,INST_006_V2,Образовательная встреча,Лекция,2026-08-16,Sunday,17:00,60,120,100,16,65,synthetic
EV_0071,INST_006,INST_006_V1,Практическая мастерская,Мастер-класс,2026-09-01,Tuesday,18:00,90,60,400,10,55,synthetic
EV_0072,INST_006,INST_006_V1,Галерея современного искусства,Выставка,2026-09-17,Thursday,12:00,120,60,300,14,70,synthetic
EV_0073,INST_006,INST_006_V2,Встреча с автором,Творческая встреча,2026-10-02,Friday,18:00,90,120,200,16,65,synthetic
EV_0074,INST_006,INST_006_V1,Открытая мастерская,Мастер-класс,2026-10-18,Sunday,17:00,60,60,0,10,55,synthetic
EV_0075,INST_006,INST_006_V1,Практическая мастерская,Мастер-класс,2026-11-03,Tuesday,17:00,120,60,200,10,55,synthetic
EV_0076,INST_006,INST_006_V1,Творческий мастер-класс,Мастер-класс,2026-11-18,Wednesday,13:00,90,60,0,10,55,synthetic
EV_0077,INST_006,INST_006_V2,Открытый разговор,Творческая встреча,2026-12-04,Friday,14:00,60,120,100,16,65,synthetic
EV_0078,INST_006,INST_006_V2,Открытая лекция,Лекция,2026-12-20,Sunday,15:00,60,120,100,16,65,synthetic
EV_0079,INST_007,INST_007_V2,Образовательная встреча,Лекция,2026-01-10,Saturday,15:00,120,120,200,16,65,synthetic
EV_0080,INST_007,INST_007_V2,Открытая лекция,Лекция,2026-01-22,Thursday,13:00,90,120,0,16,65,synthetic
EV_0081,INST_007,INST_007_V2,Встреча с автором,Творческая встреча,2026-02-04,Wednesday,12:00,90,120,100,16,65,synthetic
EV_0082,INST_007,INST_007_V2,Открытый разговор,Творческая встреча,2026-02-17,Tuesday,16:00,90,120,100,16,65,synthetic
EV_0083,INST_007,INST_007_V1,Галерея современного искусства,Выставка,2026-03-01,Sunday,14:00,120,60,150,14,70,synthetic
EV_0084,INST_007,INST_007_V1,Диалог с искусством,Выставка,2026-03-14,Saturday,16:00,120,60,300,14,70,synthetic
EV_0085,INST_007,INST_007_V1,Диалог с искусством,Выставка,2026-03-27,Friday,12:00,180,60,0,14,70,synthetic
EV_0086,INST_007,INST_007_V1,Творческий мастер-класс,Мастер-класс,2026-04-09,Thursday,13:00,120,60,200,10,55,synthetic
EV_0087,INST_007,INST_007_V2,Лекция об искусстве,Лекция,2026-04-21,Tuesday,17:00,60,120,100,16,65,synthetic
EV_0088,INST_007,INST_007_V2,Образовательная встреча,Лекция,2026-05-04,Monday,17:00,120,120,100,16,65,synthetic
EV_0089,INST_007,INST_007_V2,Образовательная встреча,Лекция,2026-05-17,Sunday,15:00,60,120,100,16,65,synthetic
EV_0090,INST_007,INST_007_V1,Галерея современного искусства,Выставка,2026-05-30,Saturday,18:00,180,60,150,14,70,synthetic
EV_0091,INST_007,INST_007_V1,Практическая мастерская,Мастер-класс,2026-06-11,Thursday,17:00,90,60,0,10,55,synthetic
EV_0092,INST_007,INST_007_V1,Практическая мастерская,Мастер-класс,2026-06-24,Wednesday,15:00,90,60,200,10,55,synthetic
EV_0093,INST_007,INST_007_V2,Открытая лекция,Лекция,2026-07-07,Tuesday,15:00,120,120,200,16,65,synthetic
EV_0094,INST_007,INST_007_V1,Творческий мастер-класс,Мастер-класс,2026-07-20,Monday,11:00,60,60,200,10,55,synthetic
EV_0095,INST_007,INST_007_V2,Открытая лекция,Лекция,2026-08-01,Saturday,15:00,60,120,200,16,65,synthetic
EV_0096,INST_007,INST_007_V2,Открытая лекция,Лекция,2026-08-14,Friday,11:00,60,120,200,16,65,synthetic
EV_0097,INST_007,INST_007_V2,Встреча с автором,Творческая встреча,2026-08-27,Thursday,14:00,90,120,100,16,65,synthetic
EV_0098,INST_007,INST_007_V2,Открытый разговор,Творческая встреча,2026-09-09,Wednesday,14:00,90,120,0,16,65,synthetic
EV_0099,INST_007,INST_007_V2,Образовательная встреча,Лекция,2026-09-21,Monday,11:00,60,120,0,16,65,synthetic
EV_0100,INST_007,INST_007_V1,Открытая мастерская,Мастер-класс,2026-10-04,Sunday,11:00,90,60,0,10,55,synthetic
EV_0101,INST_007,INST_007_V1,Новая экспозиция,Выставка,2026-10-17,Saturday,18:00,120,60,0,14,70,synthetic
EV_0102,INST_007,INST_007_V2,Открытая лекция,Лекция,2026-10-30,Friday,18:00,90,120,0,16,65,synthetic
EV_0103,INST_007,INST_007_V2,Открытый разговор,Творческая встреча,2026-11-11,Wednesday,16:00,90,120,100,16,65,synthetic
EV_0104,INST_007,INST_007_V1,Новая экспозиция,Выставка,2026-11-24,Tuesday,18:00,120,60,0,14,70,synthetic
EV_0105,INST_007,INST_007_V1,Диалог с искусством,Выставка,2026-12-07,Monday,18:00,120,60,0,14,70,synthetic
EV_0106,INST_007,INST_007_V1,Диалог с искусством,Выставка,2026-12-20,Sunday,18:00,120,60,0,14,70,synthetic
EV_0107,INST_008,INST_008_V1,Творческий мастер-класс,Мастер-класс,2026-01-10,Saturday,18:00,60,60,400,10,55,synthetic
EV_0108,INST_009,INST_009_V2,Открытый разговор,Творческая встреча,2026-01-10,Saturday,14:00,60,120,100,16,65,synthetic
EV_0109,INST_009,INST_009_V1,Новая экспозиция,Выставка,2026-02-17,Tuesday,16:00,120,60,150,14,70,synthetic
EV_0110,INST_009,INST_009_V1,Галерея современного искусства,Выставка,2026-03-27,Friday,12:00,180,60,300,14,70,synthetic
EV_0111,INST_009,INST_009_V2,Образовательная встреча,Лекция,2026-05-04,Monday,11:00,60,120,200,16,65,synthetic
EV_0112,INST_009,INST_009_V2,Творческий вечер,Творческая встреча,2026-06-11,Thursday,16:00,60,120,0,16,65,synthetic
EV_0113,INST_009,INST_009_V1,Галерея современного искусства,Выставка,2026-07-20,Monday,18:00,120,60,150,14,70,synthetic
EV_0114,INST_009,INST_009_V1,Практическая мастерская,Мастер-класс,2026-08-27,Thursday,18:00,120,60,0,10,55,synthetic
EV_0115,INST_009,INST_009_V1,Новая экспозиция,Выставка,2026-10-04,Sunday,14:00,180,60,150,14,70,synthetic
EV_0116,INST_009,INST_009_V2,Творческий вечер,Творческая встреча,2026-11-11,Wednesday,16:00,60,120,0,16,65,synthetic
EV_0117,INST_009,INST_009_V1,Практическая мастерская,Мастер-класс,2026-12-20,Sunday,18:00,60,60,0,10,55,synthetic
EV_0118,INST_010,INST_010_V2,Творческий вечер,Творческая встреча,2026-01-10,Saturday,12:00,60,120,100,16,65,synthetic
EV_0119,INST_010,INST_010_V1,Творческий мастер-класс,Мастер-класс,2026-03-19,Thursday,17:00,60,60,400,10,55,synthetic
EV_0120,INST_010,INST_010_V1,Творческий мастер-класс,Мастер-класс,2026-05-27,Wednesday,11:00,120,60,400,10,55,synthetic
EV_0121,INST_010,INST_010_V2,Открытая лекция,Лекция,2026-08-04,Tuesday,17:00,90,120,0,16,65,synthetic
EV_0122,INST_010,INST_010_V2,Открытая лекция,Лекция,2026-10-12,Monday,15:00,60,120,200,16,65,synthetic
EV_0123,INST_010,INST_010_V2,Открытая лекция,Лекция,2026-12-20,Sunday,18:00,90,120,100,16,65,synthetic
EV_0124,INST_011,INST_011_V1,Творческий мастер-класс,Мастер-класс,2026-01-10,Saturday,15:00,90,60,400,10,55,synthetic
EV_0125,INST_011,INST_011_V1,Галерея современного искусства,Выставка,2026-02-05,Thursday,12:00,120,60,150,14,70,synthetic
EV_0126,INST_011,INST_011_V2,Открытый разговор,Творческая встреча,2026-03-03,Tuesday,18:00,60,120,100,16,65,synthetic
EV_0127,INST_011,INST_011_V2,Лекция об искусстве,Лекция,2026-03-30,Monday,17:00,60,120,0,16,65,synthetic
EV_0128,INST_011,INST_011_V1,Творческий мастер-класс,Мастер-класс,2026-04-25,Saturday,11:00,90,60,200,10,55,synthetic
EV_0129,INST_011,INST_011_V1,Практическая мастерская,Мастер-класс,2026-05-22,Friday,18:00,120,60,0,10,55,synthetic
EV_0130,INST_011,INST_011_V1,Открытая мастерская,Мастер-класс,2026-06-17,Wednesday,15:00,60,60,0,10,55,synthetic
EV_0131,INST_011,INST_011_V1,Галерея современного искусства,Выставка,2026-07-14,Tuesday,14:00,120,60,0,14,70,synthetic
EV_0132,INST_011,INST_011_V1,Галерея современного искусства,Выставка,2026-08-09,Sunday,18:00,120,60,0,14,70,synthetic
EV_0133,INST_011,INST_011_V2,Лекция об искусстве,Лекция,2026-09-05,Saturday,11:00,60,120,200,16,65,synthetic
EV_0134,INST_011,INST_011_V2,Образовательная встреча,Лекция,2026-10-01,Thursday,13:00,120,120,0,16,65,synthetic
EV_0135,INST_011,INST_011_V1,Новая экспозиция,Выставка,2026-10-28,Wednesday,16:00,180,60,300,14,70,synthetic
EV_0136,INST_011,INST_011_V2,Открытая лекция,Лекция,2026-11-23,Monday,18:00,60,120,100,16,65,synthetic
EV_0137,INST_011,INST_011_V1,Творческий мастер-класс,Мастер-класс,2026-12-20,Sunday,17:00,120,60,400,10,55,synthetic
EV_0138,INST_012,INST_012_V1,Практическая мастерская,Мастер-класс,2026-01-10,Saturday,18:00,90,60,400,10,55,synthetic
EV_0139,INST_012,INST_012_V1,Галерея современного искусства,Выставка,2026-02-10,Tuesday,12:00,120,60,300,14,70,synthetic
EV_0140,INST_012,INST_012_V2,Образовательная встреча,Лекция,2026-03-13,Friday,18:00,120,120,200,16,65,synthetic
EV_0141,INST_012,INST_012_V2,Открытый разговор,Творческая встреча,2026-04-13,Monday,12:00,60,120,100,16,65,synthetic
EV_0142,INST_012,INST_012_V1,Открытая мастерская,Мастер-класс,2026-05-15,Friday,18:00,90,60,400,10,55,synthetic
EV_0143,INST_012,INST_012_V1,Диалог с искусством,Выставка,2026-06-15,Monday,12:00,180,60,150,14,70,synthetic
EV_0144,INST_012,INST_012_V2,Образовательная встреча,Лекция,2026-07-16,Thursday,18:00,90,120,200,16,65,synthetic
EV_0145,INST_012,INST_012_V2,Лекция об искусстве,Лекция,2026-08-16,Sunday,18:00,90,120,100,16,65,synthetic
EV_0146,INST_012,INST_012_V2,Встреча с автором,Творческая встреча,2026-09-17,Thursday,14:00,90,120,200,16,65,synthetic
EV_0147,INST_012,INST_012_V2,Открытая лекция,Лекция,2026-10-18,Sunday,11:00,60,120,200,16,65,synthetic
EV_0148,INST_012,INST_012_V2,Открытый разговор,Творческая встреча,2026-11-18,Wednesday,14:00,60,120,200,16,65,synthetic
EV_0149,INST_012,INST_012_V1,Открытая мастерская,Мастер-класс,2026-12-20,Sunday,18:00,120,60,400,10,55,synthetic
EV_0150,INST_013,INST_013_V1,Открытая мастерская,Мастер-класс,2026-01-10,Saturday,15:00,90,60,400,10,55,synthetic
EV_0151,INST_014,INST_014_V2,Встреча с автором,Творческая встреча,2026-01-10,Saturday,16:00,60,120,200,16,65,synthetic
EV_0152,INST_014,INST_014_V1,Новая экспозиция,Выставка,2026-01-21,Wednesday,16:00,120,60,0,14,70,synthetic
EV_0153,INST_014,INST_014_V1,Открытая мастерская,Мастер-класс,2026-02-01,Sunday,18:00,90,60,200,10,55,synthetic
EV_0154,INST_014,INST_014_V2,Образовательная встреча,Лекция,2026-02-13,Friday,13:00,90,120,100,16,65,synthetic
EV_0155,INST_014,INST_014_V2,Встреча с автором,Творческая встреча,2026-02-24,Tuesday,12:00,60,120,0,16,65,synthetic
EV_0156,INST_014,INST_014_V2,Лекция об искусстве,Лекция,2026-03-08,Sunday,15:00,120,120,0,16,65,synthetic
EV_0157,INST_014,INST_014_V2,Образовательная встреча,Лекция,2026-03-19,Thursday,18:00,60,120,100,16,65,synthetic
EV_0158,INST_014,INST_014_V1,Открытая мастерская,Мастер-класс,2026-03-31,Tuesday,13:00,120,60,200,10,55,synthetic
EV_0159,INST_014,INST_014_V2,Лекция об искусстве,Лекция,2026-04-11,Saturday,15:00,120,120,0,16,65,synthetic
EV_0160,INST_014,INST_014_V1,Новая экспозиция,Выставка,2026-04-23,Thursday,12:00,120,60,300,14,70,synthetic
EV_0161,INST_014,INST_014_V2,Творческий вечер,Творческая встреча,2026-05-04,Monday,14:00,60,120,0,16,65,synthetic
EV_0162,INST_014,INST_014_V2,Лекция об искусстве,Лекция,2026-05-16,Saturday,13:00,60,120,100,16,65,synthetic
EV_0163,INST_014,INST_014_V2,Образовательная встреча,Лекция,2026-05-27,Wednesday,13:00,120,120,200,16,65,synthetic
EV_0164,INST_014,INST_014_V1,Галерея современного искусства,Выставка,2026-06-08,Monday,16:00,180,60,150,14,70,synthetic
EV_0165,INST_014,INST_014_V1,Практическая мастерская,Мастер-класс,2026-06-19,Friday,17:00,120,60,200,10,55,synthetic
EV_0166,INST_014,INST_014_V2,Творческий вечер,Творческая встреча,2026-07-01,Wednesday,18:00,60,120,0,16,65,synthetic
EV_0167,INST_014,INST_014_V1,Практическая мастерская,Мастер-класс,2026-07-12,Sunday,13:00,90,60,0,10,55,synthetic
EV_0168,INST_014,INST_014_V2,Встреча с автором,Творческая встреча,2026-07-23,Thursday,18:00,90,120,200,16,65,synthetic
EV_0169,INST_014,INST_014_V2,Образовательная встреча,Лекция,2026-08-04,Tuesday,17:00,60,120,200,16,65,synthetic
EV_0170,INST_014,INST_014_V2,Встреча с автором,Творческая встреча,2026-08-15,Saturday,16:00,90,120,0,16,65,synthetic
EV_0171,INST_014,INST_014_V2,Творческий вечер,Творческая встреча,2026-08-27,Thursday,16:00,60,120,100,16,65,synthetic
EV_0172,INST_014,INST_014_V2,Образовательная встреча,Лекция,2026-09-07,Monday,17:00,120,120,200,16,65,synthetic
EV_0173,INST_014,INST_014_V1,Диалог с искусством,Выставка,2026-09-19,Saturday,18:00,120,60,0,14,70,synthetic
EV_0174,INST_014,INST_014_V2,Творческий вечер,Творческая встреча,2026-09-30,Wednesday,16:00,60,120,200,16,65,synthetic
EV_0175,INST_014,INST_014_V2,Лекция об искусстве,Лекция,2026-10-12,Monday,11:00,90,120,0,16,65,synthetic
EV_0176,INST_014,INST_014_V1,Диалог с искусством,Выставка,2026-10-23,Friday,18:00,120,60,0,14,70,synthetic
EV_0177,INST_014,INST_014_V1,Галерея современного искусства,Выставка,2026-11-04,Wednesday,18:00,180,60,0,14,70,synthetic
EV_0178,INST_014,INST_014_V1,Творческий мастер-класс,Мастер-класс,2026-11-15,Sunday,15:00,120,60,0,10,55,synthetic
EV_0179,INST_014,INST_014_V2,Открытая лекция,Лекция,2026-11-27,Friday,17:00,120,120,100,16,65,synthetic
EV_0180,INST_014,INST_014_V1,Галерея современного искусства,Выставка,2026-12-08,Tuesday,16:00,180,60,150,14,70,synthetic
EV_0181,INST_014,INST_014_V1,Диалог с искусством,Выставка,2026-12-20,Sunday,14:00,120,60,300,14,70,synthetic
EV_0182,INST_015,INST_015_V3,Большой концерт,Концерт,2026-01-10,Saturday,18:00,120,220,0,16,60,synthetic
EV_0183,INST_015,INST_015_V3,Концерт молодых исполнителей,Концерт,2026-07-01,Wednesday,19:00,120,220,800,16,60,synthetic
EV_0184,INST_015,INST_015_V1,Открытая мастерская,Мастер-класс,2026-12-20,Sunday,11:00,90,60,0,10,55,synthetic
EV_0185,INST_016,INST_016_V1,Новая экспозиция,Выставка,2026-01-10,Saturday,14:00,120,60,0,14,70,synthetic
EV_0186,INST_016,INST_016_V1,Диалог с искусством,Выставка,2026-12-20,Sunday,12:00,120,60,300,14,70,synthetic
EV_0187,INST_017,INST_017_V2,Образовательная встреча,Лекция,2026-01-10,Saturday,18:00,90,120,0,16,65,synthetic
EV_0188,INST_017,INST_017_V2,Открытая лекция,Лекция,2026-01-22,Thursday,15:00,120,120,0,16,65,synthetic
EV_0189,INST_017,INST_017_V2,Встреча с автором,Творческая встреча,2026-02-04,Wednesday,12:00,60,120,100,16,65,synthetic
EV_0190,INST_017,INST_017_V1,Творческий мастер-класс,Мастер-класс,2026-02-17,Tuesday,18:00,120,60,200,10,55,synthetic
EV_0191,INST_017,INST_017_V2,Образовательная встреча,Лекция,2026-03-01,Sunday,15:00,60,120,100,16,65,synthetic
EV_0192,INST_017,INST_017_V2,Творческий вечер,Творческая встреча,2026-03-14,Saturday,18:00,90,120,200,16,65,synthetic
EV_0193,INST_017,INST_017_V1,Практическая мастерская,Мастер-класс,2026-03-27,Friday,15:00,90,60,200,10,55,synthetic
EV_0194,INST_017,INST_017_V1,Практическая мастерская,Мастер-класс,2026-04-09,Thursday,17:00,60,60,200,10,55,synthetic
EV_0195,INST_017,INST_017_V2,Лекция об искусстве,Лекция,2026-04-21,Tuesday,17:00,120,120,200,16,65,synthetic
EV_0196,INST_017,INST_017_V2,Открытая лекция,Лекция,2026-05-04,Monday,17:00,120,120,200,16,65,synthetic
EV_0197,INST_017,INST_017_V2,Открытая лекция,Лекция,2026-05-17,Sunday,15:00,60,120,100,16,65,synthetic
EV_0198,INST_017,INST_017_V2,Открытая лекция,Лекция,2026-05-30,Saturday,17:00,60,120,100,16,65,synthetic
EV_0199,INST_017,INST_017_V2,Открытая лекция,Лекция,2026-06-11,Thursday,11:00,90,120,200,16,65,synthetic
EV_0200,INST_017,INST_017_V1,Практическая мастерская,Мастер-класс,2026-06-24,Wednesday,18:00,60,60,200,10,55,synthetic
EV_0201,INST_017,INST_017_V1,Открытая мастерская,Мастер-класс,2026-07-07,Tuesday,15:00,90,60,200,10,55,synthetic
EV_0202,INST_017,INST_017_V3,Музыкальный вечер,Концерт,2026-07-20,Monday,20:00,60,220,300,16,60,synthetic
EV_0203,INST_017,INST_017_V1,Творческий мастер-класс,Мастер-класс,2026-08-01,Saturday,11:00,90,60,400,10,55,synthetic
EV_0204,INST_017,INST_017_V1,Творческий мастер-класс,Мастер-класс,2026-08-14,Friday,11:00,90,60,0,10,55,synthetic
EV_0205,INST_017,INST_017_V3,Большой концерт,Концерт,2026-08-27,Thursday,20:00,120,220,500,16,60,synthetic
EV_0206,INST_017,INST_017_V2,Творческий вечер,Творческая встреча,2026-09-09,Wednesday,12:00,90,120,100,16,65,synthetic
EV_0207,INST_017,INST_017_V1,Творческий мастер-класс,Мастер-класс,2026-09-21,Monday,11:00,120,60,0,10,55,synthetic
EV_0208,INST_017,INST_017_V1,Практическая мастерская,Мастер-класс,2026-10-04,Sunday,11:00,60,60,400,10,55,synthetic
EV_0209,INST_017,INST_017_V3,Большой концерт,Концерт,2026-10-17,Saturday,20:00,60,220,500,16,60,synthetic
EV_0210,INST_017,INST_017_V1,Открытая мастерская,Мастер-класс,2026-10-30,Friday,18:00,90,60,400,10,55,synthetic
EV_0211,INST_017,INST_017_V3,Музыкальный вечер,Концерт,2026-11-11,Wednesday,18:00,120,220,300,16,60,synthetic
