visitor_id,age,age_group,favorite_event_type,visit_count_2026,feedback_count_2026,avg_rating,engagement_score,data_source
VIS_00113,35,adult,Творческая встреча,7,2,5.0,84.0,synthetic
VIS_00114,55,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00115,43,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00116,34,adult,Лекция,8,1,5.0,86.0,synthetic
VIS_00117,37,adult,Выставка,4,0,0.0,28.0,synthetic
VIS_00118,43,adult,Выставка,3,0,0.0,21.0,synthetic
VIS_00119,43,adult,Лекция,6,3,4.33,78.6,synthetic
VIS_00120,50,mature,Выставка,2,0,0.0,14.0,synthetic
VIS_00121,29,young,Творческая встреча,4,1,5.0,58.0,synthetic
VIS_00122,53,mature,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00123,31,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00124,36,adult,Лекция,6,1,3.0,62.0,synthetic
VIS_00125,45,mature,Лекция,7,1,4.0,74.0,synthetic
VIS_00126,56,mature,Мастер-класс,2,0,0.0,14.0,synthetic
VIS_00127,26,young,Концерт,3,1,3.0,41.0,synthetic
VIS_00128,22,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00129,62,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00130,18,young,Концерт,2,1,4.0,39.0,synthetic
VIS_00131,28,young,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00132,14,school,Мастер-класс,2,0,0.0,14.0,synthetic
VIS_00133,41,adult,Лекция,7,3,3.67,82.4,synthetic
VIS_00134,44,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00135,43,adult,Творческая встреча,3,1,5.0,51.0,synthetic
VIS_00136,64,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00137,51,mature,Мастер-класс,5,0,0.0,35.0,synthetic
VIS_00138,41,adult,Творческая встреча,2,0,0.0,14.0,synthetic
VIS_00139,59,mature,Лекция,1,1,2.0,22.0,synthetic
VIS_00140,37,adult,Выставка,3,0,0.0,21.0,synthetic
VIS_00141,24,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00142,51,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00143,42,adult,Лекция,1,1,4.0,32.0,synthetic
VIS_00144,25,young,Лекция,6,1,3.0,62.0,synthetic
VIS_00145,45,mature,Выставка,1,0,0.0,7.0,synthetic
VIS_00146,54,mature,Творческая встреча,5,0,0.0,35.0,synthetic
VIS_00147,31,adult,Выставка,4,0,0.0,28.0,synthetic
VIS_00148,24,young,Выставка,2,0,0.0,14.0,synthetic
VIS_00149,44,adult,Лекция,5,1,3.0,55.0,synthetic
VIS_00150,46,mature,Творческая встреча,5,2,3.5,62.5,synthetic
VIS_00151,48,mature,Лекция,6,1,5.0,72.0,synthetic
VIS_00152,30,adult,Творческая встреча,9,2,5.0,98.0,synthetic
VIS_00153,59,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00154,28,young,Выставка,2,0,0.0,14.0,synthetic
VIS_00155,55,mature,Концерт,2,2,4.0,44.0,synthetic
VIS_00156,21,young,Творческая встреча,3,1,4.0,46.0,synthetic
VIS_00157,52,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00158,34,adult,Выставка,4,1,5.0,58.0,synthetic
VIS_00159,54,mature,Лекция,3,2,3.5,48.5,synthetic
VIS_00160,25,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00161,32,adult,Лекция,5,2,5.0,70.0,synthetic
VIS_00162,36,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00163,30,adult,Лекция,4,1,5.0,58.0,synthetic
VIS_00164,31,adult,Творческая встреча,4,1,5.0,58.0,synthetic
VIS_00165,40,adult,Творческая встреча,6,2,3.5,69.5,synthetic
VIS_00166,55,mature,Лекция,5,0,0.0,35.0,synthetic
VIS_00167,40,adult,Творческая встреча,4,0,0.0,28.0,synthetic
VIS_00168,47,mature,Лекция,5,2,2.5,57.5,synthetic
VIS_00169,46,mature,Лекция,5,1,5.0,65.0,synthetic
VIS_00170,58,mature,Выставка,4,0,0.0,28.0,synthetic
VIS_00171,41,adult,Творческая встреча,5,2,3.0,60.0,synthetic
VIS_00172,43,adult,Творческая встреча,1,1,5.0,37.0,synthetic
VIS_00173,59,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00174,22,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00175,45,mature,Творческая встреча,2,0,0.0,14.0,synthetic
VIS_00176,21,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00177,52,mature,Лекция,2,1,5.0,44.0,synthetic
VIS_00178,33,adult,Творческая встреча,6,1,5.0,72.0,synthetic
VIS_00179,19,young,Лекция,2,0,0.0,14.0,synthetic
VIS_00180,47,mature,Лекция,5,2,2.5,57.5,synthetic
VIS_00181,32,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00182,16,school,Мастер-класс,1,1,5.0,37.0,synthetic
VIS_00183,37,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00184,44,adult,Творческая встреча,8,0,0.0,56.0,synthetic
VIS_00185,40,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00186,41,adult,Выставка,7,1,4.0,74.0,synthetic
VIS_00187,49,mature,Концерт,7,1,5.0,79.0,synthetic
VIS_00188,38,adult,Лекция,6,3,4.33,78.6,synthetic
VIS_00189,34,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00190,28,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00191,46,mature,Лекция,7,2,4.5,81.5,synthetic
VIS_00192,43,adult,Лекция,10,0,0.0,70.0,synthetic
VIS_00193,53,mature,Творческая встреча,1,1,5.0,37.0,synthetic
VIS_00194,40,adult,Концерт,4,1,4.0,53.0,synthetic
VIS_00195,45,mature,Концерт,2,2,3.5,41.5,synthetic
VIS_00196,48,mature,Лекция,3,0,0.0,21.0,synthetic
VIS_00197,26,young,Концерт,4,0,0.0,28.0,synthetic
VIS_00198,41,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00199,37,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00200,38,adult,Мастер-класс,5,0,0.0,35.0,synthetic
VIS_00201,39,adult,Выставка,2,0,0.0,14.0,synthetic
VIS_00202,45,mature,Творческая встреча,6,1,5.0,72.0,synthetic
VIS_00203,24,young,Концерт,1,0,0.0,7.0,synthetic
VIS_00204,35,adult,Выставка,4,1,5.0,58.0,synthetic
VIS_00205,44,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00206,46,mature,Лекция,2,0,0.0,14.0,synthetic
VIS_00207,27,young,Лекция,2,0,0.0,14.0,synthetic
VIS_00208,33,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00209,35,adult,Лекция,1,1,4.0,32.0,synthetic
VIS_00210,28,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00211,24,young,Творческая встреча,3,1,5.0,51.0,synthetic
VIS_00212,21,young,Лекция,3,0,0.0,21.0,synthetic
VIS_00213,40,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00214,60,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00215,48,mature,Концерт,4,3,5.0,68.0,synthetic
VIS_00216,30,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00217,42,adult,Выставка,3,1,5.0,51.0,synthetic
VIS_00218,51,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00219,33,adult,Выставка,3,0,0.0,21.0,synthetic
VIS_00220,25,young,Лекция,4,1,3.0,48.0,synthetic
VIS_00221,36,adult,Лекция,6,2,4.0,72.0,synthetic
VIS_00222,29,young,Лекция,8,0,0.0,56.0,synthetic
VIS_00223,33,adult,Творческая встреча,6,1,5.0,72.0,synthetic
VIS_00224,30,adult,Лекция,7,2,3.0,74.0,synthetic
VIS_00225,37,adult,Лекция,8,0,0.0,56.0,synthetic
VIS_00226,24,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00227,23,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00228,21,young,Лекция,1,1,5.0,37.0,synthetic
VIS_00229,44,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00230,32,adult,Концерт,2,0,0.0,14.0,synthetic
VIS_00231,26,young,Творческая встреча,4,0,0.0,28.0,synthetic
VIS_00232,23,young,Творческая встреча,6,1,5.0,72.0,synthetic
VIS_00233,31,adult,Концерт,2,0,0.0,14.0,synthetic
VIS_00234,21,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00235,34,adult,Творческая встреча,2,1,4.0,39.0,synthetic
VIS_00236,31,adult,Концерт,4,2,3.5,55.5,synthetic
VIS_00237,50,mature,Концерт,3,1,3.0,41.0,synthetic
VIS_00238,44,adult,Концерт,3,1,4.0,46.0,synthetic
VIS_00239,48,mature,Творческая встреча,2,1,4.0,39.0,synthetic
VIS_00240,36,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00241,35,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00242,32,adult,Выставка,3,1,4.0,46.0,synthetic
VIS_00243,30,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00244,50,mature,Творческая встреча,6,1,3.0,62.0,synthetic
VIS_00245,26,young,Лекция,6,2,3.0,67.0,synthetic
VIS_00246,59,mature,Выставка,2,0,0.0,14.0,synthetic
VIS_00247,39,adult,Лекция,5,2,3.5,62.5,synthetic
VIS_00248,33,adult,Концерт,5,3,4.33,71.6,synthetic
VIS_00249,33,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00250,38,adult,Лекция,7,0,0.0,49.0,synthetic
VIS_00251,36,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00252,48,mature,Выставка,2,0,0.0,14.0,synthetic
VIS_00253,46,mature,Лекция,2,0,0.0,14.0,synthetic
VIS_00254,58,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00255,61,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00256,69,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00257,29,young,Творческая встреча,4,1,4.0,53.0,synthetic
VIS_00258,38,adult,Творческая встреча,9,1,5.0,93.0,synthetic
VIS_00259,43,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00260,29,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00261,52,mature,Концерт,2,0,0.0,14.0,synthetic
VIS_00262,50,mature,Лекция,5,1,5.0,65.0,synthetic
VIS_00263,50,mature,Лекция,1,1,4.0,32.0,synthetic
VIS_00264,33,adult,Лекция,3,1,3.0,41.0,synthetic
VIS_00265,41,adult,Концерт,1,0,0.0,7.0,synthetic
VIS_00266,24,young,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00267,45,mature,Лекция,6,1,4.0,67.0,synthetic
VIS_00268,32,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00269,47,mature,Выставка,4,1,5.0,58.0,synthetic
VIS_00270,30,adult,Концерт,4,0,0.0,28.0,synthetic
VIS_00271,53,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00272,31,adult,Мастер-класс,4,1,4.0,53.0,synthetic
VIS_00273,54,mature,Концерт,2,2,5.0,49.0,synthetic
VIS_00274,34,adult,Концерт,6,1,4.0,67.0,synthetic
VIS_00275,37,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00276,39,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00277,20,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00278,30,adult,Лекция,3,2,3.5,48.5,synthetic
VIS_00279,32,adult,Концерт,5,1,5.0,65.0,synthetic
VIS_00280,46,mature,Выставка,2,1,4.0,39.0,synthetic
VIS_00281,21,young,Концерт,2,0,0.0,14.0,synthetic
VIS_00282,35,adult,Концерт,3,1,4.0,46.0,synthetic
VIS_00283,26,young,Лекция,3,1,3.0,41.0,synthetic
VIS_00284,53,mature,Мастер-класс,4,0,0.0,28.0,synthetic
VIS_00285,38,adult,Лекция,10,1,3.0,90.0,synthetic
VIS_00286,28,young,Мастер-класс,7,3,4.67,87.4,synthetic
VIS_00287,56,mature,Лекция,3,2,5.0,56.0,synthetic
VIS_00288,27,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00289,47,mature,Выставка,3,0,0.0,21.0,synthetic
VIS_00290,31,adult,Выставка,7,2,5.0,84.0,synthetic
VIS_00291,38,adult,Лекция,10,2,4.0,100.0,synthetic
VIS_00292,38,adult,Мастер-класс,1,1,4.0,32.0,synthetic
VIS_00293,42,adult,Концерт,1,0,0.0,7.0,synthetic
VIS_00294,44,adult,Концерт,2,0,0.0,14.0,synthetic
VIS_00295,42,adult,Выставка,6,1,5.0,72.0,synthetic
VIS_00296,36,adult,Мастер-класс,4,1,5.0,58.0,synthetic
VIS_00297,18,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00298,34,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00299,22,young,Творческая встреча,1,1,4.0,32.0,synthetic
VIS_00300,52,mature,Лекция,2,1,2.0,29.0,synthetic
VIS_00301,48,mature,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00302,22,young,Концерт,2,0,0.0,14.0,synthetic
VIS_00303,31,adult,Концерт,2,1,2.0,29.0,synthetic
VIS_00304,19,young,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00305,25,young,Концерт,2,1,5.0,44.0,synthetic
VIS_00306,37,adult,Концерт,4,3,3.67,61.4,synthetic
VIS_00307,28,young,Мастер-класс,4,0,0.0,28.0,synthetic
VIS_00308,41,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00309,46,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00310,63,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00311,24,young,Лекция,1,0,0.0,7.0,synthetic
VIS_00312,63,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00313,68,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00314,19,young,Мастер-класс,4,3,4.67,66.4,synthetic
VIS_00315,57,mature,Творческая встреча,7,3,4.0,84.0,synthetic
VIS_00316,43,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00317,37,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00318,40,adult,Творческая встреча,3,1,5.0,51.0,synthetic
VIS_00319,56,mature,Творческая встреча,6,0,0.0,42.0,synthetic
VIS_00320,49,mature,Лекция,3,1,2.0,36.0,synthetic
VIS_00321,34,adult,Концерт,4,0,0.0,28.0,synthetic
VIS_00322,37,adult,Творческая встреча,6,2,4.0,72.0,synthetic
VIS_00323,47,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00324,36,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00325,23,young,Мастер-класс,4,0,0.0,28.0,synthetic
VIS_00326,24,young,Мастер-класс,5,0,0.0,35.0,synthetic
VIS_00327,34,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00328,20,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00329,55,mature,Лекция,2,0,0.0,14.0,synthetic
VIS_00330,25,young,Лекция,3,1,5.0,51.0,synthetic
VIS_00331,25,young,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00332,43,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00333,36,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00334,50,mature,Творческая встреча,5,0,0.0,35.0,synthetic
VIS_00335,25,young,Выставка,3,0,0.0,21.0,synthetic
VIS_00336,24,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00337,38,adult,Выставка,7,2,4.0,79.0,synthetic
VIS_00338,35,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00339,68,senior,Выставка,1,0,0.0,7.0,synthetic
VIS_00340,52,mature,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00341,50,mature,Творческая встреча,4,0,0.0,28.0,synthetic
VIS_00342,44,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00343,23,young,Мастер-класс,1,1,4.0,32.0,synthetic
VIS_00344,42,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00345,45,mature,Творческая встреча,3,0,0.0,21.0,synthetic
VIS_00346,63,senior,Лекция,1,0,0.0,7.0,synthetic
VIS_00347,35,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00348,43,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00349,53,mature,Лекция,1,0,0.0,7.0,synthetic
VIS_00350,52,mature,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00351,38,adult,Лекция,3,0,0.0,21.0,synthetic
VIS_00352,18,young,Мастер-класс,1,1,5.0,37.0,synthetic
VIS_00353,40,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00354,46,mature,Лекция,7,2,4.5,81.5,synthetic
VIS_00355,50,mature,Концерт,2,0,0.0,14.0,synthetic
VIS_00356,51,mature,Лекция,5,0,0.0,35.0,synthetic
VIS_00357,40,adult,Выставка,5,1,5.0,65.0,synthetic
VIS_00358,37,adult,Выставка,1,0,0.0,7.0,synthetic
VIS_00359,41,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00360,36,adult,Выставка,10,2,5.0,100.0,synthetic
VIS_00361,44,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00362,49,mature,Лекция,3,0,0.0,21.0,synthetic
VIS_00363,48,mature,Лекция,1,1,5.0,37.0,synthetic
VIS_00364,62,senior,Лекция,2,0,0.0,14.0,synthetic
VIS_00365,32,adult,Творческая встреча,5,1,4.0,60.0,synthetic
VIS_00366,22,young,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00367,28,young,Лекция,9,4,4.5,100.0,synthetic
VIS_00368,41,adult,Мастер-класс,1,0,0.0,7.0,synthetic
VIS_00369,52,mature,Лекция,2,0,0.0,14.0,synthetic
VIS_00370,52,mature,Лекция,3,0,0.0,21.0,synthetic
VIS_00371,40,adult,Лекция,5,1,5.0,65.0,synthetic
VIS_00372,44,adult,Выставка,1,1,5.0,37.0,synthetic
VIS_00373,37,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00374,33,adult,Лекция,6,1,5.0,72.0,synthetic
VIS_00375,39,adult,Творческая встреча,5,2,3.0,60.0,synthetic
VIS_00376,26,young,Выставка,6,0,0.0,42.0,synthetic
VIS_00377,33,adult,Лекция,7,2,3.5,76.5,synthetic
VIS_00378,34,adult,Лекция,6,2,4.0,72.0,synthetic
VIS_00379,61,senior,Лекция,6,0,0.0,42.0,synthetic
VIS_00380,51,mature,Концерт,1,0,0.0,7.0,synthetic
VIS_00381,62,senior,Творческая встреча,3,0,0.0,21.0,synthetic
VIS_00382,41,adult,Лекция,1,0,0.0,7.0,synthetic
VIS_00383,38,adult,Лекция,2,0,0.0,14.0,synthetic
VIS_00384,48,mature,Выставка,2,0,0.0,14.0,synthetic
VIS_00385,54,mature,Творческая встреча,4,0,0.0,28.0,synthetic
VIS_00386,22,young,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00387,47,mature,Мастер-класс,12,3,4.67,100.0,synthetic
VIS_00388,48,mature,Выставка,3,1,3.0,41.0,synthetic
VIS_00389,27,young,Лекция,5,1,5.0,65.0,synthetic
VIS_00390,17,school,Концерт,1,0,0.0,7.0,synthetic
VIS_00391,33,adult,Выставка,5,0,0.0,35.0,synthetic
VIS_00392,50,mature,Концерт,2,1,5.0,44.0,synthetic
VIS_00393,32,adult,Творческая встреча,1,0,0.0,7.0,synthetic
VIS_00394,47,mature,Концерт,4,1,5.0,58.0,synthetic
VIS_00395,46,mature,Лекция,2,0,0.0,14.0,synthetic
VIS_00396,36,adult,Выставка,3,0,0.0,21.0,synthetic
VIS_00397,29,young,Концерт,1,0,0.0,7.0,synthetic
VIS_00398,22,young,Выставка,1,0,0.0,7.0,synthetic
VIS_00399,35,adult,Лекция,2,0,0.0,14.0,synthetic
